text_widget,ResourceID,image,number,boolean,location,date,rich_text_widget
Towny Harnett,1,http://dummyimage.com/187x135.png/cc0000/ffffff,71,true,POINT (-122.4297244275644 37.0782480398551),9/8/2018,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
Harmonie Loweth,2,http://dummyimage.com/237x244.bmp/ff4444/ffffff,6,false,POINT (-122.0037857021782 37.43432796489837),3/7/2019,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
Heidi Antunes,3,http://dummyimage.com/105x159.bmp/ff4444/ffffff,79,false,POINT (-122.2978800578876 37.18611942237973),3/14/2019,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
Ellynn Garaway,4,http://dummyimage.com/177x207.jpg/dddddd/000000,99,true,POINT (-122.203213049351 37.10812125982923),5/20/2019,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
Ronna Hurrion,5,http://dummyimage.com/143x156.png/dddddd/000000,71,true,POINT (-122.2578991035171 37.14987393346518),1/28/2019,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl."
Odette Tudball,6,http://dummyimage.com/131x173.png/cc0000/ffffff,56,true,POINT (-122.0337736243961 37.24512119069603),7/14/2018,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
Sela Kee,7,http://dummyimage.com/119x124.png/ff4444/ffffff,80,false,POINT (-122.2388916568339 37.09289011911848),3/7/2019,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
Edwina Quibell,8,http://dummyimage.com/214x155.jpg/5fa2dd/ffffff,45,false,POINT (-122.173211664322 37.14332387642081),2/7/2019,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
Lindsey Chorley,9,http://dummyimage.com/122x208.bmp/5fa2dd/ffffff,61,false,POINT (-122.4655136669807 37.12640243355343),6/6/2019,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus."
Margalo Sweeting,10,http://dummyimage.com/194x142.png/5fa2dd/ffffff,28,false,POINT (-122.4900734259008 37.45337489280678),10/26/2018,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
Ryon Lahive,11,http://dummyimage.com/159x250.bmp/cc0000/ffffff,86,false,POINT (-122.3970311485798 37.27945088627228),6/30/2019,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
Neron Speke,12,http://dummyimage.com/118x170.bmp/5fa2dd/ffffff,65,false,POINT (-122.183132959744 37.17199050047049),2/26/2019,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
Marilin Fittes,13,http://dummyimage.com/209x217.png/cc0000/ffffff,31,false,POINT (-122.1219005161865 37.10617283705029),3/9/2019,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
Ingram Studde,14,http://dummyimage.com/157x166.bmp/cc0000/ffffff,65,true,POINT (-122.2010720784484 37.18417722571783),11/8/2018,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
Reina Sidle,15,http://dummyimage.com/149x220.jpg/ff4444/ffffff,36,false,POINT (-122.2598791015855 37.08412856653168),2/14/2019,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
Rosalia Askam,16,http://dummyimage.com/195x177.bmp/dddddd/000000,2,false,POINT (-122.481729396553 37.44009640074135),8/22/2018,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet."
Lowell Dawkins,17,http://dummyimage.com/142x216.jpg/dddddd/000000,24,true,POINT (-122.2763394284435 37.20396924764883),8/5/2018,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
Clevey Cozens,18,http://dummyimage.com/156x115.png/dddddd/000000,21,true,POINT (-122.0381817123461 37.20115207329535),7/7/2018,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
Hubert Ert,19,http://dummyimage.com/188x221.jpg/cc0000/ffffff,69,true,POINT (-122.2296846950983 37.04526111004899),1/3/2019,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
Stevena Beddoes,20,http://dummyimage.com/215x249.bmp/5fa2dd/ffffff,36,false,POINT (-122.3068909363276 37.42511056096274),5/16/2019,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
Orelee Gabel,21,http://dummyimage.com/230x188.png/dddddd/000000,54,false,POINT (-122.184895376502 37.29230266191671),8/24/2018,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
Denys Starrs,22,http://dummyimage.com/182x138.jpg/5fa2dd/ffffff,40,false,POINT (-122.3130379794145 37.0548288607367),8/15/2018,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
Fitz Sherbrooke,23,http://dummyimage.com/102x155.bmp/5fa2dd/ffffff,93,false,POINT (-122.3217171641095 37.04158264361349),3/28/2019,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis."
Chloe Hammill,24,http://dummyimage.com/125x226.jpg/cc0000/ffffff,37,true,POINT (-122.4296074764143 37.41263395662754),12/11/2018,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum."
Katrinka Gipps,25,http://dummyimage.com/162x226.png/dddddd/000000,78,true,POINT (-122.4919890102892 37.1819395828944),7/6/2018,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
Kilian Saladin,26,http://dummyimage.com/249x151.bmp/ff4444/ffffff,72,true,POINT (-122.3529790067916 37.31095875178717),3/19/2019,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
Bron McGarrahan,27,http://dummyimage.com/220x229.bmp/5fa2dd/ffffff,10,true,POINT (-122.0697609616856 37.03550747345351),6/1/2019,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi."
